Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:-P  Frec:4  LogProb:-10.469248704695156
Palabra:-politicians  Frec:1  LogProb:-11.855543065815047
Palabra:-question-  Frec:2  LogProb:-11.162395885255101
Palabra:-rape-  Frec:2  LogProb:-11.162395885255101
Palabra:-Remz  Frec:2  LogProb:-11.162395885255101
Palabra:-s  Frec:2  LogProb:-11.162395885255101
Palabra:-shame  Frec:1  LogProb:-11.855543065815047
Palabra:-stephanie  Frec:1  LogProb:-11.855543065815047
Palabra:-The  Frec:1  LogProb:-11.855543065815047
Palabra:-there  Frec:2  LogProb:-11.162395885255101
Palabra:-thread  Frec:2  LogProb:-11.162395885255101
Palabra:-with  Frec:2  LogProb:-11.162395885255101
Palabra:-woaahhhhhh  Frec:2  LogProb:-11.162395885255101
Palabra:-}  Frec:1  LogProb:-11.855543065815047
Palabra:/  Frec:44  LogProb:-8.071353431896785
Palabra://refinedgeek  Frec:2  LogProb:-11.162395885255101
Palabra:/AGAIN/  Frec:1  LogProb:-11.855543065815047
Palabra:/deadpoor  Frec:2  LogProb:-11.162395885255101
Palabra:/emo  Frec:1  LogProb:-11.855543065815047
Palabra:/fuck/  Frec:2  LogProb:-11.162395885255101
Palabra:/nerd  Frec:3  LogProb:-10.756930777146938
Palabra:/u00bfPodru00edais  Frec:2  LogProb:-11.162395885255101
Palabra:0(  Frec:1  LogProb:-11.855543065815047
Palabra:0+3RszZ  Frec:1  LogProb:-11.855543065815047
Palabra:00/tweet  Frec:2  LogProb:-11.162395885255101
Palabra:00pm  Frec:2  LogProb:-11.162395885255101
Palabra:0_0  Frec:2  LogProb:-11.162395885255101
Palabra:0_o  Frec:2  LogProb:-11.162395885255101
Palabra:0F  Frec:1  LogProb:-11.855543065815047
Palabra:0N  Frec:2  LogProb:-11.162395885255101
Palabra:0rq  Frec:3  LogProb:-10.756930777146938
Palabra:0the  Frec:2  LogProb:-11.162395885255101
Palabra:0u$  Frec:2  LogProb:-11.162395885255101
Palabra:1-10  Frec:4  LogProb:-10.469248704695156
Palabra:1-5  Frec:3  LogProb:-10.756930777146938
Palabra:1-800-  Frec:2  LogProb:-11.162395885255101
Palabra:1/10  Frec:1  LogProb:-11.855543065815047
Palabra:1/2  Frec:3  LogProb:-10.756930777146938
Palabra:1/3  Frec:2  LogProb:-11.162395885255101
Palabra:100$  Frec:1  LogProb:-11.855543065815047
Palabra:100%  Frec:3  LogProb:-10.756930777146938
Palabra:1000+questions  Frec:2  LogProb:-11.162395885255101
Palabra:10000%  Frec:1  LogProb:-11.855543065815047
Palabra:100s  Frec:2  LogProb:-11.162395885255101
Palabra:101s  Frec:2  LogProb:-11.162395885255101
Palabra:10ish  Frec:2  LogProb:-11.162395885255101
Palabra:10lbs  Frec:1  LogProb:-11.855543065815047
Palabra:10th  Frec:2  LogProb:-11.162395885255101
Palabra:11's  Frec:2  LogProb:-11.162395885255101
Palabra:11a-2p  Frec:2  LogProb:-11.162395885255101
Palabra:11am  Frec:1  LogProb:-11.855543065815047
Palabra:11pm  Frec:1  LogProb:-11.855543065815047
Palabra:12/2006  Frec:2  LogProb:-11.162395885255101
Palabra:12/31  Frec:2  LogProb:-11.162395885255101
Palabra:125mg  Frec:2  LogProb:-11.162395885255101
Palabra:13-sided  Frec:1  LogProb:-11.855543065815047
Palabra:14th  Frec:1  LogProb:-11.855543065815047
